2025-08-22 11:27:04,838 | INFO |   写出: xyz_output\feet\082_foot_L.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:04,859 | INFO |   写出: xyz_output\feet\082_foot_R.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:04,878 | INFO |   写出: xyz_output\feet\083_foot_L.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:04,893 | INFO |   写出: xyz_output\feet\083_foot_R.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:04,914 | INFO |   写出: xyz_output\feet\084_foot_L.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:04,932 | INFO |   写出: xyz_output\feet\084_foot_R.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:04,948 | INFO |   写出: xyz_output\feet\085_foot_L.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:04,969 | INFO |   写出: xyz_output\feet\085_foot_R.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:04,987 | INFO |   写出: xyz_output\feet\086_foot_L.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:05,006 | INFO |   写出: xyz_output\feet\086_foot_R.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:05,028 | INFO |   写出: xyz_output\feet\087_foot_L.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:05,051 | INFO |   写出: xyz_output\feet\087_foot_R.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:05,070 | INFO |   写出: xyz_output\feet\088_foot_L.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:05,090 | INFO |   写出: xyz_output\feet\088_foot_R.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:05,107 | INFO |   写出: xyz_output\feet\089_foot_L.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:05,125 | INFO |   写出: xyz_output\feet\089_foot_R.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:05,144 | INFO |   写出: xyz_output\feet\090_foot_L.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:05,162 | INFO |   写出: xyz_output\feet\090_foot_R.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:05,179 | INFO |   写出: xyz_output\feet\091_foot_L.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:05,199 | INFO |   写出: xyz_output\feet\091_foot_R.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:05,217 | INFO |   写出: xyz_output\feet\092_foot_L.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:05,234 | INFO |   写出: xyz_output\feet\092_foot_R.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:05,252 | INFO |   写出: xyz_output\feet\093_foot_L.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:05,269 | INFO |   写出: xyz_output\feet\093_foot_R.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:05,288 | INFO |   写出: xyz_output\feet\094_foot_L.xyz | 点数=4096 | 含法向量
